"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"SUPPLIER";
"5";"";"C-EUC0805";"C0805";"C1, C2, C3, C5, C6";"CAPACITOR, European symbol";"";"";"";"";"";"";
"2";"";"CPOL-EUE5-10.5";"E5-10,5";"C7, C8";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";
"1";"";"CRYSTALHC49S";"HC49/S";"Q1";"CRYSTAL";"";"";"1667008";"unknown";"";"";
"2";"";"JP2E";"JP2";"JP2, JP3";"JUMPER";"";"";"";"";"";"";
"1";"";"KIM-055L";"KIM-055L";"MOD1";"5V 5amp DC DC module. IMPORANT: Add low ESR input & output capacitors. V+OUT1 & V+OUT2 internally connected.";"";"";"";"";"";"";
"1";"";"LED3MM";"LED3MM";"LED9";"LED";"";"";"";"";"";"";
"1";"";"MEBP_8-8G";"MEBP";"CON1";"Reichelt RJ45 geschirmt MEBP 8-8G";"";"";"";"";"";"";
"1";"";"PINHD-1X3/90";"1X03/90";"JP6";"PIN HEADER";"";"";"";"";"";"";
"3";"";"PINHD-1X8";"1X08";"JP1, JP4, JP5";"PIN HEADER";"";"";"";"";"";"";
"1";"";"PINHD-2X4";"2X04";"JP7";"PIN HEADER";"";"";"";"";"";"";
"1";"";"R-EU_M0805";"M0805";"R1";"RESISTOR, European symbol";"";"";"";"";"";"";
"2";"";"R-EU_R0805";"R0805";"R2, R10";"RESISTOR, European symbol";"";"";"";"";"";"";
"1";"10k";"R-EU_R0603";"R0603";"R3";"RESISTOR, European symbol";"";"";"";"";"";"";
"1";"434351045816";"434351045816";"434351045816";"RESET";"WS-TUS-3.5x4.7 mm side push SMD Tact Switch, 4 pins";"";"";"";"";"";"";
"1";"615016240521";"615016240521";"615016240521";"K4";"WR-MJ Horizontal Shielded Dual Stacked Port with EMI Panel Finger 8P8C Modular Jack Tab Up & Down, 16 Pins";"";"";"";"";"";"";
"1";"ARDUINO_PRO_MINI";"ARDUINO_PRO_MINI";"ARDUINO_PRO_MINI";"U$1";"";"";"";"";"";"";"";
"1";"DS1820TO92";"DS1820TO92";"TO-92";"IC1";"DS1820 - 1-Wire Digital Thermometer";"";"";"";"";"";"";
"1";"MAX481CSA";"MAX481CSA";"SO08";"IC3";"RS485 TRANSEIVER";"MAXIM";"MAX481CSA";"unknown";"90C3817";"";"";
"1";"MCP2515-I/SO";"MCP2515-I/SO";"SOIC127P1034X264-18N";"U$3";"CAN Controller";"";"MCP2515-I/SO";"1292239";"29H7136";"SOIC-18";"Microchip";
"1";"MCP2551";"MCP2551";"SO-8";"IC2";"CAN Transceiver";"";"";"";"";"";"";
